rank,upc,department,name,size,price,stock,margin,rank_score,quick_seo_title,quick_description,quick_meta_description,quick_sellability_rating,quick_imageability_rating,quick_imageability_notes,quick_image_prompt,judge_sellability,judge_imageability,judge_image_match,judge_note,quick_filter_score,judge_score,selection_stage,passed_thresholds,pro_seo_title,pro_description,pro_meta_description,pro_sellability_rating,pro_imageability_rating,pro_imageability_notes,pro_image_prompt
432,088110150631,Whiskey,Hennesy VS,375 ml,20.07,10.0,4.68,49.38,Hennessy VS Cognac 375ml,Hennessy VS is a premium cognac from France. Smooth and well-balanced. 375ml bottle. Sip neat or in cocktails.,"Buy Hennessy VS Cognac 375ml. Premium French cognac, smooth and balanced. In stock.",9,10,Distinct bottle,A 375ml bottle of Hennessy VS cognac on white background.,,,,,1051.38,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Hennessy VS Cognac 375ml | Buy Online,"Hennessy VS is a bold, well-balanced cognac with rich fruit notes and a smooth finish. Perfect for sipping neat or mixing in classic cocktails. This 375ml bottle offers a convenient size for trying or gifting.","Shop Hennessy VS Cognac 375ml. A bold, smooth cognac with rich fruit notes, ideal for sipping or cocktails. Order online for pickup or delivery.",9,10,Iconic bottle shape and label are widely recognized.,"Hennessy VS cognac bottle, 375ml, front view, plain white background, studio lighting, no text overlays."
436,088110011000,Whiskey,JONNY WALKER BLK 50ML SLVEE,50ml,46.02,10.0,10.62,49.337,Johnnie Walker Black Label 50ml Sleeve,Johnnie Walker Black Label is a premium blended Scotch whisky. Smooth with rich flavors. 50ml mini bottle in sleeve. Perfect for gifts.,Buy Johnnie Walker Black Label 50ml Sleeve. Premium Scotch whisky mini. Great for gifting.,9,10,Mini with sleeve,A 50ml bottle of Johnnie Walker Black Label in sleeve on white background.,,,,,1051.337,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Johnnie Walker Black Label 50ml Sleeve,"Johnnie Walker Black Label is a premium blended Scotch whisky with rich, smooth character. This 50ml sleeve is perfect for sampling or gifting. Enjoy notes of vanilla, dried fruit, and a hint of smoke in every sip.","Buy Johnnie Walker Black Label 50ml sleeve. A premium blended Scotch with rich, smooth flavor. Perfect for gifting or sampling. Shop now.",8,9,"Well-known brand, standard bottle shape, easy to visualize.","Johnnie Walker Black Label 50ml bottle in a sleeve, plain white background, product-only ecommerce photo."
458,080480015404,Vodka,Bacardi Rum Superior 80,750ml,16.57,11.0,3.82,49.029,Bacardi Rum Superior 80 750ml,"Bacardi Rum Superior is a classic white rum. Smooth and versatile. 750ml bottle. Perfect for mojitos, daiquiris, and more.","Buy Bacardi Rum Superior 750ml. Classic white rum, smooth and versatile. Shop now.",9,10,Standard bottle,A 750ml bottle of Bacardi Rum Superior on white background.,,,,,1051.229,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Bacardi Superior White Rum 750ml,"Bacardi Superior White Rum is a light, versatile spirit with subtle floral and fruity notes. Perfect for classic cocktails like mojitos and daiquiris, it delivers a smooth, clean finish. Ideal for mixing, this 750ml bottle is a bar essential for any occasion.","Buy Bacardi Superior White Rum 750ml online. Light, smooth, and perfect for mojitos, daiquiris, and more. Great price and in stock.",8,10,"Iconic bottle with bat logo, clear liquid, easily recognizable.","Bacardi Superior White Rum 750ml bottle, clear liquid, bat logo, plain white background, product photography."
462,811538010238,Tequila,1800 Tequila Reposado,750ml,35.99,11.0,8.25,49.005,1800 Tequila Reposado 750ml,1800 Tequila Reposado is a premium aged tequila. Smooth with notes of vanilla and oak. 750ml bottle. Ideal for cocktails.,Buy 1800 Tequila Reposado 750ml. Premium reposado tequila with vanilla notes.,9,10,Standard bottle,A 750ml bottle of 1800 Tequila Reposado on white background.,,,,,1051.205,,quick_threshold,quick_sellability>=8;quick_imageability>=8,1800 Tequila Reposado 750ml - Smooth Aged Tequila,"1800 Tequila Reposado is aged in oak barrels for a smooth, rich taste. Notes of caramel and vanilla complement its agave-forward profile. Perfect for sipping or premium cocktails. 750ml bottle.","Buy 1800 Tequila Reposado 750ml. Aged in oak for a smooth, rich flavor with caramel and vanilla notes. Ideal for sipping or cocktails. Order online today.",8,9,"Well-known bottle shape and label design, easy to visualize.","1800 Tequila Reposado 750ml bottle on plain white background, product photography, no people."
447,082184004371,Whiskey,Jack Daniel’s Tenn Apple,750ml,27.03,10.0,6.03,49.199,Jack Daniel's Tennessee Apple Whiskey 750ml,Jack Daniel's Tennessee Apple is a flavored whiskey with natural apple taste. Smooth and sweet. 750ml bottle. Great for cocktails.,Buy Jack Daniel's Tennessee Apple Whiskey 750ml. Smooth apple-flavored whiskey. In stock.,9,10,Iconic bottle,A 750ml bottle of Jack Daniel's Tennessee Apple on white background.,,,,,1051.199,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jack Daniel's Tennessee Apple Whiskey 750ml,"Jack Daniel's Tennessee Apple blends their classic Old No. 7 with crisp apple liqueur for a smooth, refreshing finish. Perfect for shots or mixing in cocktails, this 750ml bottle delivers a sweet yet balanced whiskey experience.",Buy Jack Daniel's Tennessee Apple Whiskey 750ml online. Smooth apple flavor meets classic Jack Daniel's. Perfect for cocktails or sipping. Order now for pickup or delivery.,9,10,Well-known bottle shape and label with green apple accents.,"Jack Daniel's Tennessee Apple 750ml bottle, front view, plain white background, no text overlays, studio lighting."
619,635985803690,Beer,WHITE CLAW,19.2 CN,3.89,12.0,1.22,47.165,White Claw Hard Seltzer 19.2 oz Can,"White Claw is a popular hard seltzer with natural flavors. This 19.2 oz can offers a refreshing, light drink. Crisp and clean. Low calorie and gluten-free.","Buy White Claw Hard Seltzer 19.2 oz. Refreshing, low calorie, gluten-free. Natural flavors.",9,10,Iconic can design. Very easy.,"White Claw Hard Seltzer 19.2 oz can on white background, front label.",,,,,1049.565,,quick_threshold,quick_sellability>=8;quick_imageability>=8,White Claw Hard Seltzer 19.2 oz Can,"White Claw Hard Seltzer delivers a crisp, refreshing taste with a hint of fruit flavor. This 19.2 oz single can is perfect for on-the-go enjoyment. Made with seltzer water, gluten-free alcohol, and natural flavors, it's a light, bubbly choice for any occasion.","Enjoy White Claw Hard Seltzer in a 19.2 oz can. Crisp, refreshing, and gluten-free with natural fruit flavors. Perfect for any occasion. Shop now.",9,8,"Well-known brand, but flavor not specified; generic can design assumed.","Single 19.2 oz White Claw Hard Seltzer can, plain white background, product-only, no text claims."
620,635985802136,Beer,White claw,19.2 CN,3.89,12.0,1.22,47.165,White Claw Hard Seltzer 19.2 oz Can,"White Claw Hard Seltzer in a 19.2 oz can. Refreshing, flavored seltzer with 5% ABV. Gluten-free and low calorie. Perfect for any occasion.","Buy White Claw 19.2 oz. Hard seltzer, refreshing and light. Gluten-free, low calorie.",9,10,"Same as above, duplicate. Easy.","White Claw Hard Seltzer 19.2 oz can on white background, front label.",,,,,1049.565,,quick_threshold,quick_sellability>=8;quick_imageability>=8,White Claw Hard Seltzer 19.2 oz Can,"White Claw Hard Seltzer in a 19.2 oz single can. A refreshing, gluten-free spiked sparkling water with a clean, crisp taste. Perfect for casual gatherings or relaxing at home. Low calorie and low sugar. Enjoy responsibly.","Buy White Claw Hard Seltzer 19.2 oz can. Gluten-free, low calorie, crisp and refreshing. Perfect for any occasion. Order online.",9,10,"Well-known brand, standard can, easy to visualize.","Single 19.2 oz White Claw Hard Seltzer can, plain white background, product only, no text overlays."
607,721733000029,Tequila,Patron Silver Tequila 80,750ml,51.99,9.0,11.99,47.572,Patron Silver Tequila 750ml - 80 Proof,Patron Silver Tequila is a premium 100% blue agave spirit. Smooth and crisp with citrus notes. Ideal for margaritas or sipping. 750 ml bottle at 80 proof. A top choice for tequila lovers.,"Buy Patron Silver Tequila 750ml. Premium blue agave, smooth and crisp. Perfect for margaritas.",9,10,"Iconic bottle, easily recognizable. Excellent image.","Patron Silver Tequila 750ml bottle on white background, front label, classic design.",,,,,1049.372,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Patron Silver Tequila 80 Proof 750ml,"Patron Silver Tequila is a premium, crystal-clear spirit with a smooth, fresh taste and a hint of citrus. Perfect for sipping neat or mixing in cocktails like margaritas. This 750ml bottle at 80 proof delivers consistent quality for any occasion.","Buy Patron Silver Tequila 80 Proof 750ml online. Smooth, premium tequila with citrus notes. Ideal for sipping or cocktails. Fast delivery and great price.",9,10,"Iconic bottle with green label and cork stopper, easily recognizable.","Patron Silver Tequila 750ml bottle, clear liquid, green label, cork stopper, plain white background, studio lighting."
610,619947000051,Vodka,TITOS HANDMADE VODKA 80,375ML,11.39,9.0,2.61,47.545,Tito's Handmade Vodka 375ml - 80 Proof,Tito's Handmade Vodka is a premium gluten-free vodka made from corn. Distilled in small batches for a smooth taste. Perfect for any cocktail. 375 ml bottle at 80 proof. A customer favorite.,"Buy Tito's Handmade Vodka 375ml. Gluten-free, small batch, smooth. Perfect for cocktails.",9,10,"Iconic bottle, Texas shape. Very recognizable.","Tito's Handmade Vodka 375ml bottle on white background, front label, Texas map.",,,,,1049.345,,quick_threshold,quick_sellability>=8;quick_imageability>=8,"Tito's Handmade Vodka 375ml | Gluten-Free, 80 Proof","Tito's Handmade Vodka is crafted in small batches from corn, yielding a smooth, clean taste. This 375ml bottle offers the same award-winning, gluten-free spirit, perfect for cocktails or sipping neat. Distilled six times for exceptional purity.","Buy Tito's Handmade Vodka 375ml online. Gluten-free, 80 proof, small-batch corn vodka. Smooth and clean, ideal for cocktails. Order now for pickup or delivery.",9,10,"Well-known brand, standard bottle shape, clear liquid.","Tito's Handmade Vodka 375ml bottle on plain white background, clear liquid, label visible, no people."
650,078000082463,Drinks,Dr Pepper,2 Liter,5.39,8.0,3.02,46.663,Dr Pepper 2 Liter Soda,Dr Pepper is a unique blend of 23 flavors. This 2 liter bottle is perfect for parties or mixing with spirits. Enjoy cold.,Buy Dr Pepper 2 Liter. Classic soda with 23 flavors. Great for mixing or drinking.,9,10,Classic Dr Pepper bottle. Very recognizable.,"Dr Pepper 2 Liter bottle on white background, front label.",,,,,1048.263,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Dr Pepper 2 Liter Bottle | Classic 23-Flavor Soda,"Enjoy the unique, bold taste of Dr Pepper in a convenient 2-liter bottle. This iconic soda blends 23 flavors for a refreshing, one-of-a-kind experience. Perfect for parties, meals, or anytime you crave a crisp, satisfying drink. Stock up on this timeless favorite.","Buy Dr Pepper 2 Liter at our store. The original 23-flavor soda, perfect for sharing. Crisp, refreshing taste. Order online or pick up in-store.",9,10,"Well-known brand, standard 2L bottle shape, easy to visualize.","Dr Pepper 2 Liter plastic bottle, front view, plain white background, product photography, no text overlays."
658,082000727606,Vodka,Smirnoff,1.75L,27.39,6.0,9.13,46.567,Smirnoff Vodka 1.75L - 80 Proof,"Smirnoff Vodka is a classic, smooth vodka. This 1.75L bottle is perfect for parties. 80 proof. Triple distilled. Great value.",Buy Smirnoff Vodka 1.75L. Smooth classic vodka. Great for parties.,9,10,"Large bottle, iconic label. Easy.","Smirnoff Vodka 1.75L bottle on white background, front label.",,,,,1047.767,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Smirnoff Vodka 1.75L | Smooth & Classic,"Smirnoff Vodka is a classic, triple-distilled spirit known for its smooth, clean taste. Perfect for mixing in cocktails or enjoying on the rocks, this 1.75L bottle offers great value for parties and gatherings. A versatile staple for any home bar.",Buy Smirnoff Vodka 1.75L online. Triple-distilled for exceptional smoothness. Ideal for cocktails and mixed drinks. Great value for entertaining. Order now.,9,10,"Iconic clear bottle with red label, easily recognizable.","Smirnoff Vodka 1.75L bottle, clear glass, red label, white background, product photography."
1111,611269134551,Energy Drink,RED BULL 20OZ CAN 12/CASE,"=""1""",5.58,12.0,1.59,44.649,,,,10,9,"Iconic can, easy to generate.",,,,,,1137.049,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Red Bull Energy Drink 20oz Can (12-Pack Case),"Get the wings you need with Red Bull Energy Drink in a 20oz can. This 12-pack case delivers the iconic taste and functional boost for work, study, or play. Stock up on the world's leading energy drink, perfect for convenience and on-the-go refreshment.","Buy Red Bull Energy Drink 20oz Can, 12/Case. Iconic energy boost in a larger size. Perfect for stocking up. Fast shipping.",9,10,"Iconic slim silver-blue can with Red Bull logo, easily recognizable.","Red Bull 20oz can, silver and blue design, Red Bull logo, plain white background, product photography."
1130,071990300654,Beer,Coors Light,24oz,2.99,11.0,0.58,44.371,,,,9,10,"Well-known brand, easy to visualize",,,,,,1046.571,,quick_threshold,quick_sellability>=8;quick_imageability>=8,"Coors Light 24oz Can - Crisp, Refreshing Light Beer","Coors Light delivers crisp, refreshing taste with a light body and clean finish. This 24oz can is cold lagered, cold filtered, and cold packaged for an exceptionally smooth beer. Perfect for casual gatherings, tailgates, or relaxing at home. Enjoy the Rocky Mountain refreshment anytime.","Buy Coors Light 24oz can. Crisp, refreshing light beer with a smooth finish. Cold lagered for exceptional taste. Perfect for any occasion. Order online.",9,10,"Well-known brand, standard can, easy to visualize.","Single 24oz Coors Light can, front-facing, plain white background, studio lighting, no text overlays."
3,619947000068,Vodka,TITOS 50ml,50ML,1.89,60.0,1.89,66.0,Tito's Vodka 50ml - Buy Handmade Vodka,"Tito's Handmade Vodka in a 50 ml bottle. America's original craft vodka, known for its smooth taste. Perfect for cocktails or neat. This mini size is great for travel or sampling. Stock up today.",Tito's Vodka 50ml. Premium handmade vodka in a mini bottle. Order online for fast delivery.,9,9,"Iconic brand, distinctive bottle",A 50ml bottle of Tito's Handmade Vodka on white background.,,,,,1066.0,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Tito's Handmade Vodka 50ml Mini Bottle,"Tito's Handmade Vodka in a convenient 50ml mini bottle. Crafted in Austin, Texas, from corn and naturally gluten-free. Smooth, clean taste perfect for sampling, gifting, or travel. Enjoy the award-winning quality of Tito's in a portable size.","Buy Tito's Handmade Vodka 50ml mini bottle. Smooth, gluten-free vodka from Austin, Texas. Perfect for travel, gifts, or sampling. Order online.",8,9,"Well-known brand, clear bottle, recognizable label.","Tito's Handmade Vodka 50ml mini bottle, clear glass, white label with black text, plain white background."
25,087000007253,Whiskey,Crown Royal Canadian,750ml,30.99,140.0,7.18,58.17,Crown Royal Canadian Whisky 750ml,"Crown Royal Canadian Whisky in a 750 ml bottle. The legendary blended Canadian whisky with a smooth, mellow taste. Perfect for sipping neat or in cocktails. A staple for any bar. Available now.",Crown Royal Canadian Whisky 750ml. Smooth blended whisky. Order online for pickup.,9,9,"Iconic brand, purple bag",A 750ml bottle of Crown Royal Canadian Whisky on white background.,,,,,1058.17,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Crown Royal Canadian Whisky 750ml,"Smooth and regal, Crown Royal Canadian Whisky delivers a rich, velvety blend with notes of vanilla, oak, and subtle fruit. Perfect for sipping neat or mixing in classic cocktails, this 750ml bottle brings a touch of luxury to any occasion.","Buy Crown Royal Canadian Whisky 750ml online. Smooth, rich blend with vanilla and oak notes. Perfect for sipping or cocktails. Order now for pickup or delivery.",9,10,Iconic purple bag and bottle shape widely recognized.,"Crown Royal Canadian Whisky 750ml bottle with purple bag, plain white background, product-only."
36,087000007604,Whiskey,Crown Royal,375 ml,14.69,48.0,3.37,58.129,Crown Royal Canadian Whisky 375ml,"Crown Royal Canadian Whisky in a 375 ml bottle. The legendary blended whisky in a medium size. Smooth, mellow, and perfect for home bars. Enjoy the iconic taste. Available now at our store.",Crown Royal Canadian Whisky 375ml. Medium bottle. Order online for delivery.,9,9,"Iconic brand, classic bottle",A 375ml bottle of Crown Royal Canadian Whisky on white background.,,,,,1057.729,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Crown Royal Canadian Whisky 375 ml,"Crown Royal Canadian Whisky offers a smooth, rich blend with notes of vanilla and oak. Perfect for sipping neat or in classic cocktails. This 375 ml bottle is ideal for gifting or enjoying at home.","Buy Crown Royal Canadian Whisky 375 ml online. Smooth, rich blend with vanilla and oak notes. Perfect for sipping or cocktails. Great gift size.",9,10,Iconic purple bag and bottle shape are widely recognized.,"Crown Royal 375 ml bottle with purple bag, plain white background, product photography."
34,087000007277,Whiskey,Crown Royal,200ml,9.19,46.0,2.11,58.133,Crown Royal Canadian Whisky 200ml,"Crown Royal Canadian Whisky in a 200 ml bottle. The classic blended whisky in a small format. Perfect for sampling or as a gift. Smooth and mellow, just like the larger sizes. Available now.",Crown Royal Canadian Whisky 200ml. Mini size. Order online for pickup.,9,9,"Iconic brand, small bottle",A 200ml bottle of Crown Royal Canadian Whisky on white background.,,,,,1057.333,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Crown Royal 200ml | Canadian Whisky | Smooth & Regal,"Crown Royal Canadian whisky in a 200ml bottle. Smooth and regal, with a rich, creamy vanilla and oak flavor. Perfect for sipping neat or mixing in classic cocktails. A timeless choice for any occasion.","Buy Crown Royal 200ml Canadian whisky. Smooth, rich vanilla and oak notes. Ideal for sipping or cocktails. Regal quality in a convenient size.",9,10,Iconic purple bag and crown-shaped bottle are highly recognizable.,"Crown Royal 200ml bottle with purple bag, plain white background, product-only ecommerce photo."
41,082184090527,Whiskey,Jack Daniel's Black,200ml,8.49,46.0,1.94,58.113,Jack Daniel's Old No. 7 Black Label 200ml,"Jack Daniel's Old No. 7 Black Label in a 200 ml bottle. The world-famous Tennessee whiskey with a smooth, charcoal-mellowed taste. Perfect for cocktails or sipping. A true classic in a convenient size.",Jack Daniel's Old No. 7 200ml. Classic whiskey. Order online for delivery.,9,9,"Iconic brand, classic bottle",A 200ml bottle of Jack Daniel's Old No. 7 on white background.,,,,,1057.313,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jack Daniel's Black Tennessee Whiskey 200ml,"Jack Daniel's Black Tennessee Whiskey in a convenient 200ml bottle. Smooth, charcoal-mellowed character with notes of caramel, vanilla, and toasted oak. Perfect for sipping neat, on the rocks, or in classic cocktails. A timeless American icon.",Buy Jack Daniel's Black Tennessee Whiskey 200ml online. Smooth charcoal-mellowed whiskey with caramel and oak notes. Perfect for sipping or cocktails. Order now.,9,10,"Iconic square bottle with black label, widely recognized.","Jack Daniel's Black Tennessee Whiskey 200ml bottle, plain white background, product-only, no people, no text overlays."
72,088004144708,Whiskey,Fireball Cinnamon Whisky,50ml,0.99,48.0,0.29,56.273,Fireball Cinnamon Whisky 50ml - Buy Mini,Fireball Cinnamon Whisky in a 50 ml bottle. The iconic cinnamon-flavored whisky in a mini size. Perfect for shots or sampling. Spicy and sweet. A party essential. Available now at our store.,Fireball Cinnamon Whisky 50ml. Mini cinnamon whisky. Order online for pickup.,9,9,"Iconic brand, mini bottle",A 50ml bottle of Fireball Cinnamon Whisky on white background.,,,,,1055.873,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Cinnamon Whisky 50ml Mini Bottle,"Fireball Cinnamon Whisky delivers a fiery kick of cinnamon with a smooth whisky base. This 50ml mini bottle is perfect for trying, gifting, or on-the-go enjoyment. Great for shots, mixing, or adding a spicy twist to your favorite cocktails.","Buy Fireball Cinnamon Whisky 50ml mini bottle. Smooth whisky with a fiery cinnamon kick. Perfect for shots, cocktails, or gifting. Order online today.",9,10,"Well-known brand, distinct red label and small bottle shape.","Fireball Cinnamon Whisky 50ml mini bottle, clear glass, red label with dragon, white background, product-only."
125,088004144739,Whiskey,Fireball Whisky,200ml,4.49,96.0,0.99,54.969,Fireball Whisky 200ml - Cinnamon Whisky,"Fireball Cinnamon Whisky in a 200ml bottle. The infamous whisky that tastes like cinnamon candy. Perfect for shots, mixed drinks, or adding a spicy kick to any party.",Shop Fireball Whisky 200ml. Famous cinnamon whisky. Great for shots and cocktails. Order now!,10,8,"Iconic brand, fireball neck tag.","Fireball Whisky 200ml bottle on white background, label visible, amber liquid.",,,,,1144.969,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 200ml | Cinnamon Whiskey,"Fireball Whisky delivers a fiery kick of cinnamon with a smooth, sweet finish. This 200ml bottle is perfect for parties, shots, or mixing into your favorite cocktails. Enjoy the bold, spicy flavor that has made Fireball a cult favorite.","Buy Fireball Whisky 200ml online. Cinnamon whiskey with a smooth, sweet finish. Perfect for shots and cocktails. Get yours today!",9,10,"Distinctive red-capped bottle with bold label, easy to render.","Fireball Whisky 200ml bottle, plain white background, product photography, no people, no text overlays."
162,088004144722,Whiskey,Fireball Whisky,375ml,5.92,48.0,0.0,54.0,Fireball Whisky 375ml - Cinnamon Whisky,"Fireball Cinnamon Whisky in a 375ml bottle. The wildly popular cinnamon-flavored whisky. Perfect for shots, mixed drinks, or adding a spicy kick to cocktails. A party essential.",Buy Fireball Whisky 375ml. Famous cinnamon whisky. Great for shots. Order today!,10,8,"Iconic brand, recognizable bottle.","Fireball Whisky 375ml bottle on white background, label visible, amber liquid.",,,,,1143.6,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 375ml - Cinnamon Whiskey Liqueur,"Fireball Whisky delivers a fiery kick of cinnamon spice in a smooth, easy-drinking liqueur. Perfect for shots, cocktails, or sipping straight from the fridge. This 375ml bottle is great for parties or trying something new.","Buy Fireball Whisky 375ml online. Cinnamon whiskey liqueur with a bold, spicy flavor. Perfect for shots and cocktails. Great price and in stock.",9,10,"Iconic red-capped bottle with bold Fireball label, easily recognizable.","Fireball Whisky 375ml bottle with red cap, plain white background, product-only ecommerce photo."
23,080244009236,Whiskey,Buffalo Trace,750 ML,29.99,23.0,11.28,58.195,Buffalo Trace Bourbon 750ml - Buy,"Buffalo Trace Bourbon in a 750 ml bottle. A legendary bourbon with a rich, complex flavor. Notes of vanilla, caramel, and spice. Perfect for sipping neat or in classic cocktails. A must-have for any bar.",Buffalo Trace Bourbon 750ml. Award-winning bourbon. Order online today.,9,9,"Highly sought-after, iconic label",A 750ml bottle of Buffalo Trace Bourbon on white background.,,,,,1052.795,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Buffalo Trace Bourbon 750ml,"Buffalo Trace Kentucky Straight Bourbon Whiskey in a 750ml bottle. Distilled, aged, and bottled at the Buffalo Trace Distillery, this bourbon offers a smooth, complex flavor with notes of vanilla, toffee, and spice. Perfect for sipping neat or in classic cocktails.",Buy Buffalo Trace Bourbon 750ml online. Smooth Kentucky straight bourbon with vanilla and toffee notes. Great for sipping or cocktails. Order now.,9,10,Iconic bottle shape and label are widely recognized and easy to depict.,"Buffalo Trace bourbon 750ml bottle, plain white background, product-only, no text overlays."
45,088004029227,Whiskey,Fireball Whisky,50ML,5.99,19.0,2.54,57.599,Fireball Cinnamon Whisky 50ml - Buy,Fireball Cinnamon Whisky in a 50 ml bottle. The iconic cinnamon-flavored whisky with a spicy kick. Perfect for shots or adding heat to cocktails. A party favorite in a mini size. Available now.,Fireball Cinnamon Whisky 50ml. Spicy whisky mini. Order online today.,9,9,"Iconic brand, mini bottle",A 50ml bottle of Fireball Cinnamon Whisky on white background.,,,,,1051.399,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 50ML - Cinnamon Whiskey Mini Bottle,"Fireball Cinnamon Whisky in a convenient 50ML mini bottle. Smooth whisky with a fiery kick of cinnamon spice. Perfect for parties, gifting, or trying before buying a full size. Enjoy the bold, sweet heat that's made Fireball a favorite shot and mixer worldwide.","Buy Fireball Whisky 50ML mini bottle. Cinnamon whisky with a smooth, fiery taste. Great for shots, cocktails, or gifts. Order online for in-store pickup.",9,10,"Distinctive red-capped mini bottle with bold label, very recognizable.","Fireball Whisky 50ML mini bottle, red cap, yellow and red label with dragon, plain white background, product photography."
78,088004020491,Whiskey,Fireball Whisky,50ml,7.99,24.0,1.89,56.009,Fireball Cinnamon Whisky 50ml - Buy Now,"Fireball Cinnamon Whisky in a 50 ml bottle. The original cinnamon whisky that started it all. Spicy, sweet, and perfect for any occasion. A must-have in your liquor cabinet. Available now.",Fireball Cinnamon Whisky 50ml. Classic cinnamon whisky. Order online for pickup.,9,9,"Iconic brand, mini bottle",A 50ml bottle of Fireball Cinnamon Whisky on white background.,,,,,1050.809,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 50ml - Cinnamon Whiskey Mini Bottle,"Fireball Whisky delivers a fiery kick of cinnamon spice in a smooth, easy-drinking whisky base. This 50ml mini bottle is perfect for sampling, gifting, or enjoying on the go. A bold, sweet, and warming shot that’s a party favorite.","Buy Fireball Whisky 50ml mini bottle. Cinnamon whisky with a sweet, spicy kick. Perfect for shots, parties, or gifts. Order online for pickup or delivery.",9,10,"Iconic red and yellow label, small bottle, easily recognizable.","Fireball Whisky 50ml mini bottle, front view, plain white background, studio lighting, no text overlays."
90,088004146689,Whiskey,Fireball Whisky,750ml,14.62,24.0,3.37,55.9,Fireball Cinnamon Whisky 750ml - Buy,"Fireball Cinnamon Whisky in a 750 ml bottle. The iconic cinnamon whisky in a standard size. Perfect for parties and gatherings. Spicy, sweet, and always a hit. Available now.",Fireball Cinnamon Whisky 750ml. Classic cinnamon whisky. Order online for delivery.,9,9,"Iconic brand, standard bottle",A 750ml bottle of Fireball Cinnamon Whisky on white background.,,,,,1050.7,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Whisky 750ml - Cinnamon Whiskey,"Fireball Whisky delivers a fiery kick of cinnamon spice with a smooth, sweet finish. Perfect for shots, cocktails, or sipping straight, this 750ml bottle brings the heat to any party. A bold, crowd-pleasing choice for those who love a little adventure in their glass.","Buy Fireball Whisky 750ml online. Cinnamon whiskey with a smooth, sweet finish. Perfect for shots and cocktails. In stock now.",9,10,"Distinctive red-capped bottle with bold label, easily recognizable.","Fireball Whisky 750ml bottle on plain white background, front-facing, red cap, bold label, no people."
94,088004144692,Whiskey,Fireball Whsky,750 Ml,14.59,24.0,3.34,55.872,Fireball Cinnamon Whisky 750ml - Buy,"Fireball Cinnamon Whisky in a 750 ml bottle. The iconic cinnamon whisky in a standard size. Perfect for parties and gatherings. Spicy, sweet, and always a hit. Available now.",Fireball Cinnamon Whisky 750ml. Classic cinnamon whisky. Order online for pickup.,9,9,"Iconic brand, standard bottle",A 750ml bottle of Fireball Cinnamon Whisky on white background.,,,,,1050.672,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Fireball Cinnamon Whisky 750ml | Best Price,"Fireball Cinnamon Whisky delivers a fiery kick of cinnamon with a smooth, sweet finish. Perfect for shots, cocktails, or sipping straight. This 750ml bottle brings the heat to any party or gathering. A bold, spicy spirit that's easy to enjoy and always a crowd-pleaser.",Buy Fireball Cinnamon Whisky 750ml online. Bold cinnamon flavor with a smooth finish. Perfect for shots and cocktails. Great price and in stock.,9,10,Distinctive bottle shape and label make it highly recognizable.,"Fireball Cinnamon Whisky 750ml bottle on plain white background, front-facing, clear label with red and yellow design, no people."
98,080432500149,Whiskey,Jameson Irish,375 ml,18.89,24.0,4.1,55.658,Jameson Irish Whiskey 375ml - Buy,"Jameson Irish Whiskey in a 375 ml bottle. A smooth, triple-distilled Irish whiskey. Perfect for sipping or cocktails. A favorite worldwide. Available now.",Jameson Irish Whiskey 375ml. Smooth Irish whiskey. Order online today.,9,9,"Iconic brand, standard bottle",A 375ml bottle of Jameson Irish Whiskey on white background.,,,,,1050.458,,quick_threshold,quick_sellability>=8;quick_imageability>=8,Jameson Irish Whiskey 375 ml - Smooth Triple-Distilled,"Jameson Irish Whiskey is triple-distilled for exceptional smoothness. This 375 ml bottle offers a balanced blend of spicy, nutty, and vanilla notes with a hint of sweet sherry. Perfect for sipping neat, on the rocks, or in classic cocktails like the Irish Mule.","Buy Jameson Irish Whiskey 375 ml online. Triple-distilled for smoothness with spicy, nutty, and vanilla notes. Great for sipping or cocktails. In stock now.",9,10,"Iconic green bottle with clear label, easy to depict.","Jameson Irish Whiskey 375 ml bottle on plain white background, product photography, no people, no text overlays."
